offLNm,offFNm,teamAbbr,teamLoc,teamRslt,teamFTA,teamFTM,teamFT%,opptAbbr,opptConf,opptLoc,opptRslt,opptFTA,opptFTM,opptFT%
Brothers,Tony,WAS,Away,Loss,20,12,0.6,CLE,East,Home,Win,22,15,0.6818
Smith,Michael,WAS,Away,Loss,20,12,0.6,CLE,East,Home,Win,22,15,0.6818
Workman,Haywoode,WAS,Away,Loss,20,12,0.6,CLE,East,Home,Win,22,15,0.6818
Brothers,Tony,CLE,Home,Win,22,15,0.6818,WAS,East,Away,Loss,20,12,0.6
Smith,Michael,CLE,Home,Win,22,15,0.6818,WAS,East,Away,Loss,20,12,0.6
Workman,Haywoode,CLE,Home,Win,22,15,0.6818,WAS,East,Away,Loss,20,12,0.6
McCutchen,Monty,BOS,Away,Loss,28,23,0.8214,MIA,East,Home,Win,32,26,0.8125
Wright,Sean,BOS,Away,Loss,28,23,0.8214,MIA,East,Home,Win,32,26,0.8125
Fitzgerald,Kane,BOS,Away,Loss,28,23,0.8214,MIA,East,Home,Win,32,26,0.8125
McCutchen,Monty,MIA,Home,Win,32,26,0.8125,BOS,East,Away,Loss,28,23,0.8214
Wright,Sean,MIA,Home,Win,32,26,0.8125,BOS,East,Away,Loss,28,23,0.8214
Fitzgerald,Kane,MIA,Home,Win,32,26,0.8125,BOS,East,Away,Loss,28,23,0.8214
Foster,Scott,DAL,Away,Win,18,14,0.7778,LAL,West,Home,Loss,31,12,0.3871
Zielinski,Gary,DAL,Away,Win,18,14,0.7778,LAL,West,Home,Loss,31,12,0.3871
Dalen,Eric,DAL,Away,Win,18,14,0.7778,LAL,West,Home,Loss,31,12,0.3871
Foster,Scott,LAL,Home,Loss,31,12,0.3871,DAL,West,Away,Win,18,14,0.7778
Zielinski,Gary,LAL,Home,Loss,31,12,0.3871,DAL,West,Away,Win,18,14,0.7778
Dalen,Eric,LAL,Home,Loss,31,12,0.3871,DAL,West,Away,Win,18,14,0.7778
Salvatore,Bennett,DEN,Away,Loss,11,5,0.4545,PHI,East,Home,Win,21,17,0.8095
Brown,Tony,DEN,Away,Loss,11,5,0.4545,PHI,East,Home,Win,21,17,0.8095
Lewis,Eric,DEN,Away,Loss,11,5,0.4545,PHI,East,Home,Win,21,17,0.8095
Salvatore,Bennett,PHI,Home,Win,21,17,0.8095,DEN,West,Away,Loss,11,5,0.4545
Brown,Tony,PHI,Home,Win,21,17,0.8095,DEN,West,Away,Loss,11,5,0.4545
Lewis,Eric,PHI,Home,Win,21,17,0.8095,DEN,West,Away,Loss,11,5,0.4545
Spooner,Bill,IND,Away,Win,16,11,0.6875,TOR,East,Home,Loss,19,16,0.8421
Guthrie,David,IND,Away,Win,16,11,0.6875,TOR,East,Home,Loss,19,16,0.8421
Lindsay,Mark,IND,Away,Win,16,11,0.6875,TOR,East,Home,Loss,19,16,0.8421
Spooner,Bill,TOR,Home,Loss,19,16,0.8421,IND,East,Away,Win,16,11,0.6875
Guthrie,David,TOR,Home,Loss,19,16,0.8421,IND,East,Away,Win,16,11,0.6875
Lindsay,Mark,TOR,Home,Loss,19,16,0.8421,IND,East,Away,Win,16,11,0.6875
Kirkland,Courtney,HOU,Away,Win,23,17,0.7391,DET,East,Home,Loss,26,20,0.7692
Garretson,Ron,HOU,Away,Win,23,17,0.7391,DET,East,Home,Loss,26,20,0.7692
Corbin,Sean,HOU,Away,Win,23,17,0.7391,DET,East,Home,Loss,26,20,0.7692
Kirkland,Courtney,DET,Home,Loss,26,20,0.7692,HOU,West,Away,Win,23,17,0.7391
Garretson,Ron,DET,Home,Loss,26,20,0.7692,HOU,West,Away,Win,23,17,0.7391
Corbin,Sean,DET,Home,Loss,26,20,0.7692,HOU,West,Away,Win,23,17,0.7391
Jones,David,SAC,Away,Loss,16,13,0.8125,CHI,East,Home,Win,33,25,0.7576
Palmer,Violet,SAC,Away,Loss,16,13,0.8125,CHI,East,Home,Win,33,25,0.7576
Forte,Brian,SAC,Away,Loss,16,13,0.8125,CHI,East,Home,Win,33,25,0.7576
Jones,David,CHI,Home,Win,33,25,0.7576,SAC,West,Away,Loss,16,13,0.8125
Palmer,Violet,CHI,Home,Win,33,25,0.7576,SAC,West,Away,Loss,16,13,0.8125
Forte,Brian,CHI,Home,Win,33,25,0.7576,SAC,West,Away,Loss,16,13,0.8125
Fraher,Pat,SA,Away,Win,26,17,0.6538,NO,West,Home,Loss,23,21,0.913
Goble,John,SA,Away,Win,26,17,0.6538,NO,West,Home,Loss,23,21,0.913
Capers,James,SA,Away,Win,26,17,0.6538,NO,West,Home,Loss,23,21,0.913
Fraher,Pat,NO,Home,Loss,23,21,0.913,SA,West,Away,Win,26,17,0.6538
Goble,John,NO,Home,Loss,23,21,0.913,SA,West,Away,Win,26,17,0.6538
Capers,James,NO,Home,Loss,23,21,0.913,SA,West,Away,Win,26,17,0.6538
Mott,Rodney,DAL,Away,Loss,26,19,0.7308,UTA,West,Home,Win,42,31,0.7381
Mauer,Ken,DAL,Away,Loss,26,19,0.7308,UTA,West,Home,Win,42,31,0.7381
Poole,Olandis,DAL,Away,Loss,26,19,0.7308,UTA,West,Home,Win,42,31,0.7381
Mott,Rodney,UTA,Home,Win,42,31,0.7381,DAL,West,Away,Loss,26,19,0.7308
Mauer,Ken,UTA,Home,Win,42,31,0.7381,DAL,West,Away,Loss,26,19,0.7308
Poole,Olandis,UTA,Home,Win,42,31,0.7381,DAL,West,Away,Loss,26,19,0.7308
Adams,Bennie,GS,Away,Win,23,16,0.6957,PHO,West,Home,Loss,22,17,0.7727
Callahan,Mike,GS,Away,Win,23,16,0.6957,PHO,West,Home,Loss,22,17,0.7727
Cutler,Kevin,GS,Away,Win,23,16,0.6957,PHO,West,Home,Loss,22,17,0.7727
Adams,Bennie,PHO,Home,Loss,22,17,0.7727,GS,West,Away,Win,23,16,0.6957
Callahan,Mike,PHO,Home,Loss,22,17,0.7727,GS,West,Away,Win,23,16,0.6957
Cutler,Kevin,PHO,Home,Loss,22,17,0.7727,GS,West,Away,Win,23,16,0.6957
Foster,Scott,MEM,Away,Loss,30,24,0.8,LAC,West,Home,Win,29,20,0.6897
Zielinski,Gary,MEM,Away,Loss,30,24,0.8,LAC,West,Home,Win,29,20,0.6897
Dalen,Eric,MEM,Away,Loss,30,24,0.8,LAC,West,Home,Win,29,20,0.6897
Foster,Scott,LAC,Home,Win,29,20,0.6897,MEM,West,Away,Loss,30,24,0.8
Zielinski,Gary,LAC,Home,Win,29,20,0.6897,MEM,West,Away,Loss,30,24,0.8
Dalen,Eric,LAC,Home,Win,29,20,0.6897,MEM,West,Away,Loss,30,24,0.8
Wood,Leon,LAL,Away,Loss,32,26,0.8125,POR,West,Home,Win,28,23,0.8214
Kennedy,Bill,LAL,Away,Loss,32,26,0.8125,POR,West,Home,Win,28,23,0.8214
Maddox,Tre,LAL,Away,Loss,32,26,0.8125,POR,West,Home,Win,28,23,0.8214
Wood,Leon,POR,Home,Win,28,23,0.8214,LAL,West,Away,Loss,32,26,0.8125
Kennedy,Bill,POR,Home,Win,28,23,0.8214,LAL,West,Away,Loss,32,26,0.8125
Maddox,Tre,POR,Home,Win,28,23,0.8214,LAL,West,Away,Loss,32,26,0.8125
Crawford,Dan,OKC,Away,Loss,23,19,0.8261,SA,West,Home,Win,16,11,0.6875
Collins,Derrick,OKC,Away,Loss,23,19,0.8261,SA,West,Home,Win,16,11,0.6875
Ayotte,Mark,OKC,Away,Loss,23,19,0.8261,SA,West,Home,Win,16,11,0.6875
Crawford,Dan,SA,Home,Win,16,11,0.6875,OKC,West,Away,Loss,23,19,0.8261
Collins,Derrick,SA,Home,Win,16,11,0.6875,OKC,West,Away,Loss,23,19,0.8261
Ayotte,Mark,SA,Home,Win,16,11,0.6875,OKC,West,Away,Loss,23,19,0.8261
Davis,Marc,DEN,Away,Loss,27,18,0.6667,ORL,East,Home,Win,18,13,0.7222
Lane,Karl,DEN,Away,Loss,27,18,0.6667,ORL,East,Home,Win,18,13,0.7222
Bavetta,Dick,DEN,Away,Loss,27,18,0.6667,ORL,East,Home,Win,18,13,0.7222
Davis,Marc,ORL,Home,Win,18,13,0.7222,DEN,West,Away,Loss,27,18,0.6667
Lane,Karl,ORL,Home,Win,18,13,0.7222,DEN,West,Away,Loss,27,18,0.6667
Bavetta,Dick,ORL,Home,Win,18,13,0.7222,DEN,West,Away,Loss,27,18,0.6667
Richardson,Leroy,IND,Away,Loss,27,16,0.5926,CHA,East,Home,Win,24,21,0.875
Garretson,Ron,IND,Away,Loss,27,16,0.5926,CHA,East,Home,Win,24,21,0.875
Orr,J.T.,IND,Away,Loss,27,16,0.5926,CHA,East,Home,Win,24,21,0.875
Richardson,Leroy,CHA,Home,Win,24,21,0.875,IND,East,Away,Loss,27,16,0.5926
Garretson,Ron,CHA,Home,Win,24,21,0.875,IND,East,Away,Loss,27,16,0.5926
Orr,J.T.,CHA,Home,Win,24,21,0.875,IND,East,Away,Loss,27,16,0.5926
Jones,David,MIL,Away,Win,12,11,0.9167,BOS,East,Home,Loss,21,17,0.8095
Palmer,Violet,MIL,Away,Win,12,11,0.9167,BOS,East,Home,Loss,21,17,0.8095
Spooner,Bill,MIL,Away,Win,12,11,0.9167,BOS,East,Home,Loss,21,17,0.8095
