"","gmDate","gmTime","seasTyp","teamAbbr","opptAbbr","teamLoc","teamPF","opptPF","offN1","offN2","offN3"
"2","2012-10-30","19:00","Regular","CLE","WAS","Home",21,19,"Tony Brothers","Michael Smith","Haywoode Workman"
"4","2012-10-30","20:00","Regular","MIA","BOS","Home",20,23,"Monty McCutchen","Sean Wright","Kane Fitzgerald"
"6","2012-10-30","22:30","Regular","LAL","DAL","Home",21,25,"Scott Foster","Gary Zielinski","Eric Dalen"
"8","2012-10-31","19:00","Regular","PHI","DEN","Home",14,22,"Bennett Salvatore","Tony Brown","Eric Lewis"
"10","2012-10-31","19:00","Regular","TOR","IND","Home",18,16,"Bill Spooner","David Guthrie","Mark Lindsay"
"12","2012-10-31","19:30","Regular","DET","HOU","Home",15,24,"Courtney Kirkland","Ron Garretson","Sean Corbin"
"14","2012-10-31","20:00","Regular","CHI","SAC","Home",19,29,"David Jones","Violet Palmer","Brian Forte"
"16","2012-10-31","20:00","Regular","NO","SA","Home",20,21,"Pat Fraher","John Goble","James Capers"
"18","2012-10-31","21:00","Regular","UTA","DAL","Home",25,32,"Rodney Mott","Ken Mauer","Olandis Poole"
"20","2012-10-31","22:00","Regular","PHO","GS","Home",23,20,"Bennie Adams","Mike Callahan","Kevin Cutler"
"22","2012-10-31","22:30","Regular","LAC","MEM","Home",27,25,"Scott Foster","Gary Zielinski","Eric Dalen"
"24","2012-10-31","22:30","Regular","POR","LAL","Home",20,29,"Leon Wood","Bill Kennedy","Tre Maddox"
"26","2012-11-01","21:30","Regular","SA","OKC","Home",21,20,"Dan Crawford","Derrick Collins","Mark Ayotte"
"28","2012-11-02","19:00","Regular","ORL","DEN","Home",24,17,"Marc Davis","Karl Lane","Dick Bavetta"
"30","2012-11-02","19:00","Regular","CHA","IND","Home",23,16,"Leroy Richardson","Ron Garretson","J.T. Orr"
"32","2012-11-02","19:30","Regular","BOS","MIL","Home",18,17,"David Jones","Violet Palmer","Bill Spooner"
"34","2012-11-02","19:30","Regular","CLE","CHI","Home",25,21,"Courtney Kirkland","Monty McCutchen","Lauren Holtkamp"
"36","2012-11-02","19:30","Regular","ATL","HOU","Home",26,18,"Ed Malloy","Sean Wright","Brent Barnaky"
"38","2012-11-02","20:00","Regular","NY","MIA","Home",22,18,"Michael Smith","Derrick Stafford","Nick Buchert"
"40","2012-11-02","20:00","Regular","NO","UTA","Home",16,21,"Scott Wall","Jason Phillips","Tony Brown"
"42","2012-11-02","20:00","Regular","MIN","SAC","Home",17,34,"Sean Corbin","Tom Washington","Curtis Blair"
"44","2012-11-02","20:00","Regular","OKC","POR","Home",22,25,"Pat Fraher","John Goble","James Capers"
"46","2012-11-02","22:00","Regular","PHO","DET","Home",20,19,"Scott Foster","Rodney Mott","Eric Dalen"
"48","2012-11-02","22:30","Regular","LAL","LAC","Home",23,26,"Bennie Adams","Mike Callahan","Kevin Cutler"
"50","2012-11-02","22:30","Regular","GS","MEM","Home",24,22,"Ken Mauer","Leon Wood","Olandis Poole"
"52","2012-11-03","19:00","Regular","WAS","BOS","Home",14,12,"Joe Crawford","Derek Richardson","David Guthrie"
"54","2012-11-03","19:00","Regular","IND","SAC","Home",19,26,"Courtney Kirkland","Bill Kennedy","Eli Roe"
"56","2012-11-03","19:30","Regular","MIA","DEN","Home",16,21,"Leroy Richardson","Ed Malloy","Kevin Scott"
"58","2012-11-03","19:30","Regular","BKN","TOR","Home",19,31,"Gary Zielinski","Matt Boland","Bennett Salvatore"
"60","2012-11-03","20:00","Regular","CHI","NO","Home",20,21,"Tom Washington","Kane Fitzgerald","James Williams"
"62","2012-11-03","20:00","Regular","HOU","POR","Home",16,18,"Dan Crawford","Derrick Collins","Mark Ayotte"
"64","2012-11-03","20:30","Regular","DAL","CHA","Home",23,14,"Tony Brothers","Tony Brown","Haywoode Workman"
"66","2012-11-03","20:30","Regular","MIL","CLE","Home",18,21,"Kevin Fehr","Derrick Stafford","John Goble"
"68","2012-11-03","20:30","Regular","SA","UTA","Home",18,22,"Zach Zarba","Eric Lewis","Marat Kogut"
"70","2012-11-03","22:30","Regular","LAC","GS","Home",31,34,"Rodney Mott","Scott Twardoski","Brian Forte"
"72","2012-11-04","12:00","Regular","NY","PHI","Home",10,18,"Sean Corbin","Violet Palmer","Bill Spooner"
"74","2012-11-04","18:00","Regular","ORL","PHO","Home",17,17,"Ron Garretson","Sean Wright","Tre Maddox"
"76","2012-11-04","18:00","Regular","TOR","MIN","Home",24,17,"Pat Fraher","Monty McCutchen","Josh Tiven"
"78","2012-11-04","19:00","Regular","OKC","ATL","Home",21,20,"Scott Wall","Mike Callahan","Brenda Pantoja"
"80","2012-11-04","21:30","Regular","LAL","DET","Home",20,20,"Ken Mauer","Olandis Poole","Brian Forte"
"82","2012-11-05","19:00","Regular","PHI","NY","Home",19,17,"Courtney Kirkland","Scott Foster","Gary Zielinski"
"84","2012-11-05","19:30","Regular","MIA","PHO","Home",22,19,"Zach Zarba","Dan Crawford","Brent Barnaky"
"86","2012-11-05","19:30","Regular","BKN","MIN","Home",17,18,"Bennie Adams","Marc Davis","Derek Richardson"
"88","2012-11-05","20:00","Regular","MEM","UTA","Home",17,22,"Bill Kennedy","David Guthrie","Tre Maddox"
"90","2012-11-05","20:30","Regular","SA","IND","Home",17,17,"Tony Brothers","Haywoode Workman","Dick Bavetta"
"92","2012-11-05","20:30","Regular","DAL","POR","Home",15,13,"Joe Crawford","Kane Fitzgerald","Marat Kogut"
"94","2012-11-05","22:00","Regular","SAC","GS","Home",25,17,"Michael Smith","Mark Lindsay","James Capers"
"96","2012-11-05","22:30","Regular","LAC","CLE","Home",24,18,"David Jones","Bennett Salvatore","J.T. Orr"
"98","2012-11-06","20:00","Regular","CHI","ORL","Home",12,22,"Pat Fraher","Leon Wood","Jason Phillips"
"100","2012-11-06","20:00","Regular","OKC","TOR","Home",22,24,"Ron Garretson","Eric Dalen","Brian Forte"
"102","2012-11-06","21:00","Regular","DEN","DET","Home",21,19,"Violet Palmer","John Goble","J.T. Orr"
"104","2012-11-07","19:00","Regular","CHA","PHO","Home",20,24,"Leon Wood","Derrick Stafford","Kevin Cutler"
"106","2012-11-07","19:30","Regular","MIA","BKN","Home",18,15,"Mike Callahan","Tony Brown","Josh Tiven"
"108","2012-11-07","19:30","Regular","ATL","IND","Home",15,14,"Ken Mauer","Derek Richardson","Kane Fitzgerald"
"110","2012-11-07","19:30","Regular","BOS","WAS","Home",17,27,"Bennie Adams","Monty McCutchen","Kevin Scott"
"112","2012-11-07","20:00","Regular","NO","PHI","Home",12,16,"Leroy Richardson","Tony Brothers","Dick Bavetta"
"114","2012-11-07","20:00","Regular","MIL","MEM","Home",18,20,"Gary Zielinski","Scott Wall","Jason Phillips"
"116","2012-11-07","20:00","Regular","MIN","ORL","Home",18,22,"Bill Kennedy","John Goble","Scott Twardoski"
"118","2012-11-07","20:00","Regular","HOU","DEN","Home",22,16,"Joe Crawford","David Guthrie","Eric Dalen"
"120","2012-11-07","20:30","Regular","DAL","TOR","Home",23,28,"Rodney Mott","Sean Wright","Tre Maddox"
"122","2012-11-07","21:00","Regular","UTA","LAL","Home",30,14,"Ed Malloy","Derrick Collins","Mark Lindsay"
"124","2012-11-07","22:00","Regular","SAC","DET","Home",21,20,"David Jones","Bennett Salvatore","Nick Buchert"
"126","2012-11-07","22:30","Regular","GS","CLE","Home",22,26,"Tom Washington","Mark Ayotte","Eric Lewis"
"128","2012-11-07","22:30","Regular","LAC","SA","Home",19,11,"Michael Smith","Matt Boland","James Capers"
"130","2012-11-08","20:00","Regular","CHI","OKC","Home",19,19,"Sean Corbin","Derrick Stafford","Eli Roe"
