"","X","gmDate","gmTime","seasTyp","teamAbbr","opptAbbr","teamLoc","teamPF","opptPF","ref"
"1",2,"2012-10-30","19:00","Regular","CLE","WAS","Home",21,19,"Tony Brothers"
"2",4,"2012-10-30","20:00","Regular","MIA","BOS","Home",20,23,"Monty McCutchen"
"3",6,"2012-10-30","22:30","Regular","LAL","DAL","Home",21,25,"Scott Foster"
"4",8,"2012-10-31","19:00","Regular","PHI","DEN","Home",14,22,"Bennett Salvatore"
"5",10,"2012-10-31","19:00","Regular","TOR","IND","Home",18,16,"Bill Spooner"
"6",12,"2012-10-31","19:30","Regular","DET","HOU","Home",15,24,"Courtney Kirkland"
"7",14,"2012-10-31","20:00","Regular","CHI","SAC","Home",19,29,"David Jones"
"8",16,"2012-10-31","20:00","Regular","NO","SA","Home",20,21,"Pat Fraher"
"9",18,"2012-10-31","21:00","Regular","UTA","DAL","Home",25,32,"Rodney Mott"
"10",20,"2012-10-31","22:00","Regular","PHO","GS","Home",23,20,"Bennie Adams"
"11",22,"2012-10-31","22:30","Regular","LAC","MEM","Home",27,25,"Scott Foster"
"12",24,"2012-10-31","22:30","Regular","POR","LAL","Home",20,29,"Leon Wood"
"13",26,"2012-11-01","21:30","Regular","SA","OKC","Home",21,20,"Dan Crawford"
"14",28,"2012-11-02","19:00","Regular","ORL","DEN","Home",24,17,"Marc Davis"
"15",30,"2012-11-02","19:00","Regular","CHA","IND","Home",23,16,"Leroy Richardson"
"16",32,"2012-11-02","19:30","Regular","BOS","MIL","Home",18,17,"David Jones"
"17",34,"2012-11-02","19:30","Regular","CLE","CHI","Home",25,21,"Courtney Kirkland"
"18",36,"2012-11-02","19:30","Regular","ATL","HOU","Home",26,18,"Ed Malloy"
"19",38,"2012-11-02","20:00","Regular","NY","MIA","Home",22,18,"Michael Smith"
"20",40,"2012-11-02","20:00","Regular","NO","UTA","Home",16,21,"Scott Wall"
"21",42,"2012-11-02","20:00","Regular","MIN","SAC","Home",17,34,"Sean Corbin"
"22",44,"2012-11-02","20:00","Regular","OKC","POR","Home",22,25,"Pat Fraher"
"23",46,"2012-11-02","22:00","Regular","PHO","DET","Home",20,19,"Scott Foster"
"24",48,"2012-11-02","22:30","Regular","LAL","LAC","Home",23,26,"Bennie Adams"
"25",50,"2012-11-02","22:30","Regular","GS","MEM","Home",24,22,"Ken Mauer"
"26",52,"2012-11-03","19:00","Regular","WAS","BOS","Home",14,12,"Joe Crawford"
"27",54,"2012-11-03","19:00","Regular","IND","SAC","Home",19,26,"Courtney Kirkland"
"28",56,"2012-11-03","19:30","Regular","MIA","DEN","Home",16,21,"Leroy Richardson"
"29",58,"2012-11-03","19:30","Regular","BKN","TOR","Home",19,31,"Gary Zielinski"
"30",60,"2012-11-03","20:00","Regular","CHI","NO","Home",20,21,"Tom Washington"
"31",62,"2012-11-03","20:00","Regular","HOU","POR","Home",16,18,"Dan Crawford"
"32",64,"2012-11-03","20:30","Regular","DAL","CHA","Home",23,14,"Tony Brothers"
"33",66,"2012-11-03","20:30","Regular","MIL","CLE","Home",18,21,"Kevin Fehr"
"34",68,"2012-11-03","20:30","Regular","SA","UTA","Home",18,22,"Zach Zarba"
"35",70,"2012-11-03","22:30","Regular","LAC","GS","Home",31,34,"Rodney Mott"
"36",72,"2012-11-04","12:00","Regular","NY","PHI","Home",10,18,"Sean Corbin"
"37",74,"2012-11-04","18:00","Regular","ORL","PHO","Home",17,17,"Ron Garretson"
"38",76,"2012-11-04","18:00","Regular","TOR","MIN","Home",24,17,"Pat Fraher"
"39",78,"2012-11-04","19:00","Regular","OKC","ATL","Home",21,20,"Scott Wall"
"40",80,"2012-11-04","21:30","Regular","LAL","DET","Home",20,20,"Ken Mauer"
"41",82,"2012-11-05","19:00","Regular","PHI","NY","Home",19,17,"Courtney Kirkland"
"42",84,"2012-11-05","19:30","Regular","MIA","PHO","Home",22,19,"Zach Zarba"
"43",86,"2012-11-05","19:30","Regular","BKN","MIN","Home",17,18,"Bennie Adams"
"44",88,"2012-11-05","20:00","Regular","MEM","UTA","Home",17,22,"Bill Kennedy"
"45",90,"2012-11-05","20:30","Regular","SA","IND","Home",17,17,"Tony Brothers"
"46",92,"2012-11-05","20:30","Regular","DAL","POR","Home",15,13,"Joe Crawford"
"47",94,"2012-11-05","22:00","Regular","SAC","GS","Home",25,17,"Michael Smith"
"48",96,"2012-11-05","22:30","Regular","LAC","CLE","Home",24,18,"David Jones"
"49",98,"2012-11-06","20:00","Regular","CHI","ORL","Home",12,22,"Pat Fraher"
"50",100,"2012-11-06","20:00","Regular","OKC","TOR","Home",22,24,"Ron Garretson"
"51",102,"2012-11-06","21:00","Regular","DEN","DET","Home",21,19,"Violet Palmer"
"52",104,"2012-11-07","19:00","Regular","CHA","PHO","Home",20,24,"Leon Wood"
"53",106,"2012-11-07","19:30","Regular","MIA","BKN","Home",18,15,"Mike Callahan"
"54",108,"2012-11-07","19:30","Regular","ATL","IND","Home",15,14,"Ken Mauer"
"55",110,"2012-11-07","19:30","Regular","BOS","WAS","Home",17,27,"Bennie Adams"
"56",112,"2012-11-07","20:00","Regular","NO","PHI","Home",12,16,"Leroy Richardson"
"57",114,"2012-11-07","20:00","Regular","MIL","MEM","Home",18,20,"Gary Zielinski"
"58",116,"2012-11-07","20:00","Regular","MIN","ORL","Home",18,22,"Bill Kennedy"
"59",118,"2012-11-07","20:00","Regular","HOU","DEN","Home",22,16,"Joe Crawford"
"60",120,"2012-11-07","20:30","Regular","DAL","TOR","Home",23,28,"Rodney Mott"
"61",122,"2012-11-07","21:00","Regular","UTA","LAL","Home",30,14,"Ed Malloy"
"62",124,"2012-11-07","22:00","Regular","SAC","DET","Home",21,20,"David Jones"
"63",126,"2012-11-07","22:30","Regular","GS","CLE","Home",22,26,"Tom Washington"
"64",128,"2012-11-07","22:30","Regular","LAC","SA","Home",19,11,"Michael Smith"
"65",130,"2012-11-08","20:00","Regular","CHI","OKC","Home",19,19,"Sean Corbin"
"66",132,"2012-11-08","22:30","Regular","POR","LAC","Home",22,22,"Tom Washington"
"67",134,"2012-11-09","19:00","Regular","WAS","MIL","Home",24,21,"Leon Wood"
"68",136,"2012-11-09","19:00","Regular","ORL","BKN","Home",22,13,"Leroy Richardson"
"69",138,"2012-11-09","19:30","Regular","BOS","PHI","Home",19,22,"Rodney Mott"
"70",140,"2012-11-09","19:30","Regular","ATL","MIA","Home",16,22,"Joe Crawford"
"71",142,"2012-11-09","19:30","Regular","NY","DAL","Home",21,28,"Zach Zarba"
