"","ref","team","fouls"
"1"," ","ATL",0
"2"," ","BKN",0
"3"," ","BOS",22
"4"," ","CHA",20
"5"," ","CHI",0
"6"," ","CLE",0
"7"," ","DAL",0
"8"," ","DEN",0
"9"," ","DET",16
"10"," ","GS",0
"11"," ","HOU",23
"12"," ","IND",0
"13"," ","LAC",0
"14"," ","LAL",0
"15"," ","MEM",0
"16"," ","MIA",0
"17"," ","MIL",0
"18"," ","MIN",0
"19"," ","NO",0
"20"," ","NY",0
"21"," ","OKC",0
"22"," ","ORL",0
"23"," ","PHI",0
"24"," ","PHO",0
"25"," ","POR",0
"26"," ","SA",0
"27"," ","SAC",0
"28"," ","TOR",0
"29"," ","UTA",0
"30"," ","WAS",0
"31","Aaron Smith","ATL",140
"32","Aaron Smith","BKN",139
"33","Aaron Smith","BOS",226
"34","Aaron Smith","CHA",157
"35","Aaron Smith","CHI",142
"36","Aaron Smith","CLE",152
"37","Aaron Smith","DAL",116
"38","Aaron Smith","DEN",106
"39","Aaron Smith","DET",186
"40","Aaron Smith","GS",162
"41","Aaron Smith","HOU",172
"42","Aaron Smith","IND",154
"43","Aaron Smith","LAC",153
"44","Aaron Smith","LAL",135
"45","Aaron Smith","MEM",127
"46","Aaron Smith","MIA",246
"47","Aaron Smith","MIL",168
"48","Aaron Smith","MIN",167
"49","Aaron Smith","NO",125
"50","Aaron Smith","NY",178
"51","Aaron Smith","OKC",54
"52","Aaron Smith","ORL",123
"53","Aaron Smith","PHI",200
"54","Aaron Smith","PHO",205
"55","Aaron Smith","POR",152
"56","Aaron Smith","SA",110
"57","Aaron Smith","SAC",137
"58","Aaron Smith","TOR",175
"59","Aaron Smith","UTA",134
"60","Aaron Smith","WAS",189
"61","Ben Taylor","ATL",287
"62","Ben Taylor","BKN",473
"63","Ben Taylor","BOS",503
"64","Ben Taylor","CHA",302
"65","Ben Taylor","CHI",262
"66","Ben Taylor","CLE",414
"67","Ben Taylor","DAL",375
"68","Ben Taylor","DEN",522
"69","Ben Taylor","DET",468
"70","Ben Taylor","GS",470
"71","Ben Taylor","HOU",380
"72","Ben Taylor","IND",393
"73","Ben Taylor","LAC",272
"74","Ben Taylor","LAL",217
"75","Ben Taylor","MEM",358
"76","Ben Taylor","MIA",276
"77","Ben Taylor","MIL",525
"78","Ben Taylor","MIN",314
"79","Ben Taylor","NO",392
"80","Ben Taylor","NY",386
"81","Ben Taylor","OKC",351
"82","Ben Taylor","ORL",500
"83","Ben Taylor","PHI",443
"84","Ben Taylor","PHO",497
"85","Ben Taylor","POR",353
"86","Ben Taylor","SA",308
"87","Ben Taylor","SAC",343
"88","Ben Taylor","TOR",415
"89","Ben Taylor","UTA",267
"90","Ben Taylor","WAS",323
"91","Bennett Salvatore","ATL",129
"92","Bennett Salvatore","BKN",241
"93","Bennett Salvatore","BOS",201
"94","Bennett Salvatore","CHA",148
"95","Bennett Salvatore","CHI",94
"96","Bennett Salvatore","CLE",212
"97","Bennett Salvatore","DAL",228
"98","Bennett Salvatore","DEN",168
"99","Bennett Salvatore","DET",253
"100","Bennett Salvatore","GS",200
"101","Bennett Salvatore","HOU",129
"102","Bennett Salvatore","IND",192
